"SAQ CODE (IPC)/CODE SAQ (CIP)";"UPC";"DESCRIPTION";"SALES UNIT/UNITÉ DE VENTE";"QTY OF BOTTLES/QTÉ BOUTEILLE";"YEAR/ANNÉE";"PERIOD/PÉRIODE";"WEEK/SEMAINE"
"15535112";00851006001603;"Coffret découverte Distillerie du Québec (20 X 50ml)";"1000";11;2025;11;3;
"14807139";03760330110417;"Château Lafleur Les Pensées de Lafleur Pomerol";"750";1;2025;11;3;
"15443613";00612789121809;"Aurea Mediocritas Pommettes";"750";15;2025;11;3;
"11881931";09331727017370;"Cabernet-Sauvignon Sexy Beast Two Hands McLaren Vale";"750";3;2025;11;3;
"14100643";08437012917019;"Herencia Altés Garnatxa Terra Alta";"750";19;2025;11;3;
"15427795";05060210707859;"Kilchoman Sanaig Cask Strength Islay Single Malt";"700";5;2025;11;3;
"12884991";03760176420008;"Domaine Thomas & Fils Sancerre Le Pierrier";"750";2;2025;11;3;
"51029";00774336510297;"Notre Vin Maison blanc";"1000";1;2025;11;3;
"15429117";00056049139201;"Bù Grüner Veltliner Édition Limitée";"750";723;2025;11;3;
"14439495";03471370226685;"Luneau-Papin Clos de l'Allée Muscadet Sèvre et Maine";"750";5;2025;11;3;
"11900821";03770011658305;"Yves Leccia E Croce";"750";9;2025;11;3;
"15357424";05200116650143;"Idaia Fresco Rosso";"750";6;2025;11;3;
"12202187";00040001220212;"Bellechaume Pierre Morin Sancerre";"750";5;2025;11;3;
"12201643";03762994151010;"Morgon Cuvée Corcelette Jean Foillard";"750";4;2025;11;3;
"15240824";03263070058952;"Château Kirwan Grand Cru Classé Margaux";"750";8;2025;11;3;
"13318341";03471375029588;"Domaine Luneau-Papin Vera Cruz";"750";12;2025;11;3;
"12133986";00695555000256;"Nova 7 Benjamin Bridge Wines";"750";11;2025;11;3;
"14936475";03443660015712;"Bonfils Château Vaugelas Le Prieuré Corbières";"750";6;2025;11;3;
"15340876";00645781259386;"Vignoble du PicBois Rosé";"750";2;2025;11;3;
"14799301";08022534423751;"Luciano Sandrone Barbera d'Alba";"750";5;2025;11;3;
"14981583";00628075801669;"Hickson Concombre Melon Yuzu";"750";13;2025;11;3;
"11269401";08022931509232;"Non Confunditur Argiano Toscana";"750";5;2025;11;3;
"15396095";03270620001801;"Louis Royer V.S.O.P.";"750";1;2025;11;3;
"14419662";00895958001779;"K. Vionnet Le Rawsé de Karim Beaujolais Villages";"750";4;2025;11;3;
"14703479";04000147034797;"Béreche et Fils Ambonnay Grand Cru Extra Brut";"750";2;2025;11;3;
"15141068";00628242481090;"Dom. Lafrance Rick Special #2";"750";2;2025;11;3;
"14801327";06002039010207;"The Chocolate Block";"375";4;2025;11;3;
"15478921";03760014980732;"Jean-Max Roger La Grange Dimière Sancerre";"375";35;2025;11;3;
"15356350";04000153563502;"Phillippe Charlopin-Parizot Bourgogne Côte D'Or";"750";99;2025;11;3;
"15473935";04000154739357;"Théo Dancer Grenache Aragón";"750";1;2025;11;3;
"15254935";08032532580363;"Tenuta La Novella Sambrena Sangiovese";"750";35;2025;11;3;
"15586577";03700188073243;"Château Siran Margaux";"750";10;2025;11;3;
"15191196";04000151911961;"Domaine de Château Grillet";"750";2;2025;11;3;
"15326661";05200112811036;"Diamantakis Vidiano";"750";8;2025;11;3;
"10553186";00056049015970;"Nicolas Laloux Le Gentlemen Bohème Rouge";"1000";3196;2025;11;3;
"13059079";00067311717034;"Aroma mi Amore vin rouge";"1000";6610;2025;11;3;
"10873614";08014115000376;"Grappa Jacopo Poli Moscato";"1500";5;2025;11;3;
"15222571";00400152225717;"Buisson-Charles Hautes Couture Bourgogne Pinot Noir";"750";18;2025;11;3;
"14910072";03018300020922;"Grand Marnier Révélation";"750";1;2025;11;3;
"14762233";03770016065115;"Bel-Air L'Espérance Irange Vignobles Percier";"750";2;2025;11;3;
"15308921";00627987806588;"Fove Acerum Finition à l'Érable 2 ans";"500";5;2025;11;3;
"14449167";06009669300623;"Kranskop Pinot Noir Klaasvoogds";"750";4;2025;11;3;
"15460149";00890414001751;"Domaine Saint-Jérôme Tavel";"750";4;2025;11;3;
"15202596";08031822090223;"Ilatraia Brancaia Maremma Toscana i.g.t.";"750";1;2025;11;3;
"14758779";00692743073467;"Lanson Green Label Brut";"750";1;2025;11;3;
"14461271";08057284410119;"Carussin Asinoi Barbera d'Asti";"750";5;2025;11;3;
"13949611";03760088940397;"Domaine Fichet Mâcon-Burgy Les 3 Terroirs";"750";1;2025;11;3;
"117101";04067700012081;"Jagermeister";"750";2;2025;11;3;
"15472617";08032894052430;"Vietri Pecorino";"750";9;2025;11;3;
"12562529";03510170000023;"Dom Charmoise Sauvignon Blanc Henri Marionette Touraine";"750";9;2025;11;3;
"15378241";00647581364239;"SmallFry Eclectik Violet";"750";4;2025;11;3;
"14915949";03760011908197;"Domaine Duperray Beaujolais- Village Gamay Glou-Glou";"750";2;2025;11;3;
"15517002";03760424210108;"Zind-Humbrecht Riesling Hengst Grand Cru";"750";2;2025;11;3;
"15281204";08437021378047;"Can Vallès XAXAXA Penedès";"750";1;2025;11;3;
"15268034";00762765676578;"Brand Bros Pinot Blanc";"750";-1;2025;11;3;
"15240082";03701034105811;"Château Capbern Saint-Estèphe";"750";4;2025;11;3;
"11903328";03700790300010;"Pinot Blanc Domaine Albert Boxler Alsace";"750";2;2025;11;3;
"15116794";00056049138785;"Étienne Marceau Sauvignon Blanc";"750";1;2025;11;3;
"15236374";03760126912881;"Château Lynch-Moussas Les Hauts de Lynch Moussas";"750";9;2025;11;3;
"15469961";03521962210049;"Domaine de La Pousse d'Or Volnay 1er Cru Clos d'Audignac";"750";1;2025;11;3;
"14947262";08032986500207;"Di Giovanna Vurria Grillo Sicilia";"750";3;2025;11;3;
"14556974";03760273152185;"Domaine Brégeon Original";"750";5;2025;11;3;
"13004123";00057496008195;"Smoky Bay Chardonnay";"4000";1925;2025;11;3;
"15399819";00628942368554;"Plot Wines Pinot Noir";"750";1;2025;11;3;
"15052292";03700188060366;"Château Lynch-Bages Grand Cru Classé Pauillac";"750";2;2025;11;3;
"11440175";03512678129756;"Château de La Grille Chinon";"750";5;2025;11;3;
"14575180";00827924022150;"Sainte-Pétronille VSP Le Gouleyant";"750";1;2025;11;3;
"12817034";08033959600108;"Paterna Colli Aretini Chianti";"750";1;2025;11;3;
"12990611";07804300136475;"San Pedro Epica Red Blend Central Valley";"750";1;2025;11;3;
"15412526";08000192002808;"Bersano Mirage Gavi";"750";4;2025;11;3;
"13566783";00839318000620;"Cygnus Sador Brut Nature Vegan Reserva";"750";2;2025;11;3;
"15378647";03282946015462;"Nicolas Feuillatte Palmes D'Or Rosé Intense";"750";5;2025;11;3;
"14560341";00628250949056;"L & M Gin aux Champignons";"500";4;2025;11;3;
"14558902";08014629231815;"Pio Cesare Mosconi Barolo";"750";1;2025;11;3;
"15183081";03760285161656;"VERSO Haut-Batailley";"750";28;2025;11;3;
"15243030";03352370014185;"Pommery Grand Cru Royal";"750";1;2025;11;3;
"14555672";08014629032214;"Pio Cesare Barbaresco";"750";2;2025;11;3;
