saq_entrepot_id,entrepot,code_saq,qty,annee,periode,semaine,date
294,CDQ,15095284,46.0,2022,8,4,2022-11-05
295,CDM,14001338,2.3333,2022,9,1,2022-11-12
296,CDM,14064873,64.5833,2022,9,1,2022-11-12
297,CDM,14250123,24.5,2022,9,1,2022-11-12
298,CDM,14545132,124.333,2022,9,1,2022-11-12
299,CDM,14561781,58.9167,2022,9,1,2022-11-12
300,CDM,14682882,155.333,2022,9,1,2022-11-12
301,CDM,14682891,29.0,2022,9,1,2022-11-12
302,CDM,14758699,195.083,2022,9,1,2022-11-12
303,CDM,14954868,62.4167,2022,9,1,2022-11-12
304,CDM,14954876,41.4167,2022,9,1,2022-11-12
305,CDM,14960213,973.5,2022,9,1,2022-11-12
306,CDM,14989770,51.3333,2022,9,1,2022-11-12
307,CDM,14989788,105.917,2022,9,1,2022-11-12
308,CDM,14989796,31.25,2022,9,1,2022-11-12
309,CDM,14989809,22.5,2022,9,1,2022-11-12
310,CDM,14989825,375.083,2022,9,1,2022-11-12
311,CDM,14989833,44.0,2022,9,1,2022-11-12
312,CDM,15095284,29.0833,2022,9,1,2022-11-12
313,CDQ,14001338,5.1667,2022,9,1,2022-11-12
314,CDQ,14064873,0.3333,2022,9,1,2022-11-12
315,CDQ,14250123,10.3333,2022,9,1,2022-11-12
316,CDQ,14545132,0.5833,2022,9,1,2022-11-12
317,CDQ,14561781,41.5833,2022,9,1,2022-11-12
318,CDQ,14682882,63.3333,2022,9,1,2022-11-12
319,CDQ,14682891,6.4167,2022,9,1,2022-11-12
320,CDQ,14758699,60.9167,2022,9,1,2022-11-12
321,CDQ,14954868,53.5833,2022,9,1,2022-11-12
322,CDQ,14954876,6.75,2022,9,1,2022-11-12
323,CDQ,14960213,579.0,2022,9,1,2022-11-12
324,CDQ,14989788,17.8333,2022,9,1,2022-11-12
325,CDQ,14989796,78.6667,2022,9,1,2022-11-12
326,CDQ,14989809,63.75,2022,9,1,2022-11-12
327,CDQ,14989833,33.9167,2022,9,1,2022-11-12
328,CDQ,15095284,15.25,2022,9,1,2022-11-12
329,CDM,14001338,58.9167,2022,9,2,2022-11-19
330,CDM,14064873,46.75,2022,9,2,2022-11-19
